wrongyear,meanTemp,year,
1.91001E+11,-0.5,1910,
1.91101E+11,-0.69,1911,
1.91201E+11,-0.2,1912,
1.91301E+11,-0.86,1913,
1.91401E+11,0.12,1914,
1.91501E+11,0.07,1915,
1.91601E+11,-0.57,1916,
1.91701E+11,-1.24,1917,
1.91801E+11,-0.54,1918,
1.91901E+11,-0.15,1919,
1.92001E+11,-0.53,1920,
1.92101E+11,-0.23,1921,
1.92201E+11,-0.47,1922,
1.92301E+11,-0.38,1923,
1.92401E+11,-0.69,1924,
1.92501E+11,-0.77,1925,
1.92601E+11,-0.17,1926,
1.92701E+11,-0.52,1927,
1.92801E+11,0.15,1928,
1.92901E+11,-0.86,1929,
1.93001E+11,-0.24,1930,
1.93101E+11,-0.59,1931,
1.93201E+11,-0.42,1932,
1.93301E+11,-0.45,1933,
1.93401E+11,-0.36,1934,
1.93501E+11,-0.5,1935,
1.93601E+11,-0.14,1936,
1.93701E+11,-0.36,1937,
1.93801E+11,0.18,1938,
1.93901E+11,-0.62,1939,
1.94001E+11,-0.23,1940,
1.94101E+11,-0.55,1941,
1.94201E+11,0.08,1942,
1.94301E+11,-0.63,1943,
1.94401E+11,-0.39,1944,
1.94501E+11,-0.29,1945,
1.94601E+11,-0.72,1946,
1.94701E+11,-0.26,1947,
1.94801E+11,-0.46,1948,
1.94901E+11,-0.94,1949,
1.95001E+11,-0.61,1950,
1.95101E+11,-0.43,1951,
1.95201E+11,-0.43,1952,
1.95301E+11,-0.45,1953,
1.95401E+11,-0.37,1954,
1.95501E+11,-0.32,1955,
1.95601E+11,-0.92,1956,
1.95701E+11,0.04,1957,
1.95801E+11,0.14,1958,
1.95901E+11,0.24,1959,
1.96001E+11,-0.66,1960,
1.96101E+11,0.05,1961,
1.96201E+11,-0.11,1962,
1.96301E+11,-0.13,1963,
1.96401E+11,-0.22,1964,
1.96501E+11,0.25,1965,
1.96601E+11,-0.5,1966,
1.96701E+11,-0.22,1967,
1.96801E+11,-0.39,1968,
1.96901E+11,-0.03,1969,
1.97001E+11,-0.1,1970,
1.97101E+11,-0.22,1971,
1.97201E+11,0.15,1972,
1.97301E+11,0.53,1973,
1.97401E+11,-0.7,1974,
1.97501E+11,-0.22,1975,
1.97601E+11,-0.75,1976,
1.97701E+11,-0.03,1977,
1.97801E+11,-0.31,1978,
1.97901E+11,0.37,1979,
1.98001E+11,0.74,1980,
1.98101E+11,0.27,1981,
1.98201E+11,-0.04,1982,
1.98301E+11,0.33,1983,
1.98401E+11,-0.39,1984,
1.98501E+11,0.21,1985,
1.98601E+11,0.22,1986,
1.98701E+11,0.18,1987,
1.98801E+11,0.73,1988,
1.98901E+11,-0.02,1989,
1.99001E+11,0.47,1990,
1.99101E+11,0.6,1991,
1.99201E+11,0.12,1992,
1.99301E+11,0.31,1993,
1.99401E+11,0.18,1994,
1.99501E+11,0.16,1995,
1.99601E+11,0.6,1996,
1.99701E+11,0.3,1997,
1.99801E+11,0.97,1998,
1.99901E+11,0.31,1999,
2.00001E+11,-0.04,2000,
2.00101E+11,0.05,2001,
2.00201E+11,0.71,2002,
2.00301E+11,0.69,2003,
2.00401E+11,0.54,2004,
2.00501E+11,1.16,2005,
2.00601E+11,0.5,2006,
2.00701E+11,0.76,2007,
2.00801E+11,0.45,2008,
2.00901E+11,0.93,2009,
2.01001E+11,0.34,2010,
2.01101E+11,0,2011,
2.01201E+11,0.24,2012,
2.01301E+11,1.34,2013,
2.01401E+11,1.04,2014,
2.01501E+11,0.94,2015,
2.01601E+11,0.99,2016,
2.01701E+11,1.05,2017,
2.01801E+11,1.11,2018,
2.01901E+11,1.51,2019,
2.02001E+11,1.13,2020,
